"","created_at","screen_name","text","source","is_retweet","favorite_count","retweet_count","followers_count","city","datetime","date2"
"937",2019-03-05 11:43:32,"mansuryavas06","Polatlı’dayız https://t.co/P9ffNWbcXQ","Twitter for iPhone",FALSE,1232,230,1279698,"Ankara",2019-03-05 11:43:32,2019-03-05
"938",2019-03-05 11:15:40,"mansuryavas06","Polatlı’dayız, Ankara 1 Nisan’da Değişime Hazır. #HakYeriniBulacak https://t.co/J8HO12m9OJ","Twitter for iPhone",FALSE,2946,570,1279698,"Ankara",2019-03-05 11:15:40,2019-03-05
"939",2019-03-05 10:28:25,"mansuryavas06","Bugün Polatlı’da sevgili muhtarlarımız ve çeşitli STK üyelerimizle bir araya geldik. Polatlı’nın ve Ankara’nın sorunlarını konuştuk, çözüm önerilerimizi anlattık. Ankara artık kararını vermiş, 31 Mart’ta tescil etmeyi bekliyor. Huzur ve berekete 26 gün kaldı. https://t.co/KR0FkDo6J8","Twitter for iPhone",FALSE,1091,154,1279698,"Ankara",2019-03-05 10:28:25,2019-03-05
"940",2019-03-05 07:57:39,"mansuryavas06","Ankara’da gençlerimizin evine misafir, sofralarına konuk olduk. Yaşadıkları sorunları dinledik ve devamında çözüm olacak projelerimizi anlattık. 

Ankara’da yaşayan, okuyan, hayatını idame ettirmeye çalışan gençlerimiz için Ankara’yı gençlerin başkenti haline getireceğiz. https://t.co/LrM03Y6BTi","Twitter for iPhone",FALSE,2965,486,1279698,"Ankara",2019-03-05 07:57:39,2019-03-05
"941",2019-03-04 19:53:51,"mansuryavas06","Hangi siyasi görüşten olursak olalım, hepimiz aynı belediye otobüsündeyiz. Dertlere derman 5 yıllık bir yolculuk için sizi de bekleriz. Huzur ve bereketli bir Ankara’ya 27 gün kaldı. 

#HakYeriniBulacak #AynıBelediyeOtobüsündeyiz https://t.co/8hEoktf4RH","Twitter for iPhone",FALSE,10278,1822,1279698,"Ankara",2019-03-04 19:53:51,2019-03-04
"942",2019-03-04 13:24:19,"mansuryavas06","Ankara sınırları içerisinde kardeş olmamızı sağlayacak ibretlik bir hikaye ortadayken, bu şehrin insanlarını kamplara bölmek isteyenlere asla müsaade etmeyeceğiz. 

Duatepe/Sakarya Meydan Muhaberesi alanını görmeyen, hikayesini bilmeyen tek bir öğrenci kalmasın istiyoruz. https://t.co/gYCFHsiwXn","Twitter for iPhone",FALSE,4958,917,1279698,"Ankara",2019-03-04 13:24:19,2019-03-04
"943",2019-03-04 11:29:01,"mansuryavas06","Bugün Bilkent Üniversitesi Milliyetçi Düşünce Topluluğu’na konuk olduk. Gençlerimiz için gençler ile birlikte hazırladığımız projelerimizi anlattık. Gösterilen ilgi ve alakadan ötürü her birinize çok teşekkür ederim. Ankara 1 Nisan’da huzura ve berekete uyanmaya hazır. https://t.co/EIvmPYsG72","Twitter for iPhone",FALSE,1892,287,1279698,"Ankara",2019-03-04 11:29:01,2019-03-04
"944",2019-03-04 09:55:13,"mansuryavas06","Sn @mansuryavas06 ile birlikte @BilkentUniv deyiz. Gençlerden ilgi muhteşem. O da soruları cevaplıyor.
@DurmusYillmaz https://t.co/P3xK5XNNSV","Twitter for iPhone",TRUE,0,62,1279698,"Ankara",2019-03-04 09:55:13,2019-03-04
"945",2019-03-04 09:14:08,"mansuryavas06","Gençlerimiz bizim geleceğimiz. 

Ankara’da yaşayan, okuyan, hayatını idame ettirmeye çalışan gençlerimiz için; eğitim kampüslerinden, e-spor merkezlerine, robotik kodlamadan, İngilizce eğitim köylerine kadar birçok projemizle Ankara’yı gençlerin başkenti haline getireceğiz. https://t.co/26TIxuUT9r","Twitter for iPhone",TRUE,0,600,1279698,"Ankara",2019-03-04 09:14:08,2019-03-04
"946",2019-03-03 18:12:02,"mansuryavas06","Gençlerimiz bizim geleceğimiz. 

Ankara’da yaşayan, okuyan, hayatını idame ettirmeye çalışan gençlerimiz için; eğitim kampüslerinden, e-spor merkezlerine, robotik kodlamadan, İngilizce eğitim köylerine kadar birçok projemizle Ankara’yı gençlerin başkenti haline getireceğiz. https://t.co/26TIxuUT9r","Twitter for iPhone",FALSE,2944,600,1279698,"Ankara",2019-03-03 18:12:02,2019-03-03
